"","acinar","activated-stellate","alpha","beta","delta","ductal","endothelial","epsilon","gamma","macrophage","mast","quiescent-stellate","schwann","t-cell"
"ADRA2B",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ADRA2C",0,3,0,0,0,4,2,0,0,0,0,68,0,0
"ADRB1",0,0,6,0,0,0,0,0,0,0,0,0,0,0
"ADRB2",0,0,1,18,2,2,1,0,3,0,5,0,0,0
"ADRB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADRBK1",25,18,64,174,40,36,27,4,15,11,2,12,0,0
"ADRBK2",0,3,80,227,17,16,4,4,8,5,0,5,0,0
"ADRM1",100,71,103,339,56,112,79,7,19,8,1,68,4,0
"ADSL",64,24,46,146,51,52,28,1,10,3,0,20,0,0
"ADSS",28,22,30,222,60,53,26,1,11,5,0,8,0,0
"ADSSL1",2,3,8,78,15,3,2,4,0,0,0,0,0,0
"ADTRP",0,17,0,1,0,2,0,0,0,1,0,0,0,0
"AEBP1",0,272,2,2,3,0,18,0,0,0,0,41,1,0
"AEBP2",4,8,32,104,40,9,7,1,8,0,0,12,0,0
"AEN",36,5,146,303,52,38,17,2,10,0,0,11,1,0
"AES",203,110,589,1904,548,329,177,43,230,14,8,101,5,2
"AFAP1",7,33,15,12,8,41,35,0,1,0,0,12,0,0
"AFAP1L1",0,1,0,1,0,0,64,0,0,0,0,2,0,0
"AFAP1L2",1,6,0,0,0,2,2,0,0,0,0,10,0,0
"AFF1",37,6,57,283,46,56,29,3,11,0,2,13,3,0
"AFF2",2,0,0,1,0,1,1,0,0,0,0,0,0,0
"AFF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFF4",54,39,181,506,112,93,36,1,36,7,0,29,2,0
"AFG3L1P",2,3,14,29,15,8,1,0,7,0,0,7,0,0
"AFG3L2",43,34,83,278,37,42,18,1,10,3,1,18,0,0
"AFM",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFMID",1,0,1,0,1,1,0,0,0,0,0,0,0,0
"AFP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFTPH",47,12,117,431,107,76,31,8,35,8,0,12,0,0
"AGA",8,2,9,72,9,8,5,0,4,3,0,0,0,0
"AGAP1",20,14,62,75,33,25,14,2,10,1,2,28,1,0
"AGAP11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGAP2",0,2,0,5,0,0,0,1,0,0,0,1,0,0
"AGAP3",45,26,101,329,80,40,47,0,29,8,2,9,1,0
"AGAP4",4,1,7,24,6,3,5,0,1,1,0,0,0,0
"AGAP5",1,0,8,31,9,3,4,1,2,1,0,2,0,0
"AGAP6",0,2,14,39,15,2,3,0,1,3,0,1,0,0
"AGAP9",0,0,1,6,0,1,0,0,0,0,0,0,0,0
"AGBL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGBL2",0,0,2,1,1,0,0,0,0,0,0,0,0,0
"AGBL3",0,0,3,8,1,1,0,0,0,0,0,1,0,0
"AGBL4",0,0,4,10,6,0,0,0,0,0,0,0,0,0
"AGBL5",13,1,19,73,11,8,2,4,4,0,0,3,1,0
"AGER",0,0,10,18,4,5,4,0,1,0,0,5,0,0
"AGFG1",40,23,75,178,22,58,27,1,11,3,0,17,2,0
"AGFG2",7,0,30,48,42,14,8,0,5,0,0,1,0,0
"AGGF1",15,11,42,172,24,30,16,0,11,2,0,9,0,0
"AGK",3,1,3,30,3,2,1,0,0,0,0,1,0,0
"AGL",5,0,30,61,18,11,1,2,6,2,0,4,0,0
"AGMAT",2,0,3,5,0,2,0,1,0,0,0,0,0,0
"AGMO",0,0,0,1,2,0,0,0,0,0,0,0,0,0
"AGO1",8,9,24,103,22,19,6,0,8,2,1,5,1,0
"AGO2",41,49,102,369,86,63,40,7,19,1,0,26,0,1
"AGO3",10,11,42,111,30,6,2,0,10,0,1,12,0,0
"AGO4",3,1,12,33,12,15,13,1,6,0,0,5,2,0
"AGPAT1",15,23,69,168,57,26,16,6,16,3,0,7,1,0
"AGPAT2",119,21,53,158,33,121,8,2,12,5,0,17,1,0
"AGPAT3",36,20,71,160,31,70,18,1,11,4,2,16,1,1
"AGPAT4",2,7,12,45,28,12,5,2,7,6,0,9,0,0
"AGPAT5",30,12,25,136,45,11,16,0,20,1,0,9,3,0
"AGPAT6",44,38,83,294,124,60,33,2,20,5,0,13,1,0
"AGPAT9",2,0,26,102,15,17,2,0,7,0,0,0,4,0
"AGPS",33,30,22,89,21,44,12,1,5,6,4,10,1,0
"AGR2",0,0,0,4,0,50,0,0,0,0,0,0,0,0
"AGR3",1,0,0,0,0,21,0,0,0,0,0,0,0,0
"AGRN",12,27,27,53,9,235,63,0,5,0,0,7,0,1
"AGRP",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGT",7,7,255,146,33,77,30,27,12,0,0,32,0,0
"AGTPBP1",7,0,11,71,7,7,5,0,1,0,0,2,0,0
"AGTR1",0,1,1,0,41,0,3,0,3,0,0,15,0,0
"AGTR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGTRAP",182,28,65,72,32,53,12,0,2,9,0,12,1,0
"AGXT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGXT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHCTF1",9,11,51,173,37,22,11,1,5,0,2,9,0,0
"AHCY",126,24,70,217,60,58,21,2,11,8,0,22,1,0
"AHCYL1",171,182,494,2731,565,425,134,19,119,23,6,143,6,1
"AHCYL2",11,1,30,86,17,6,10,0,6,0,0,0,2,0
"AHI1",14,7,101,559,165,19,9,8,31,2,1,12,1,0
"AHNAK",16,64,13,6,2,319,141,0,4,41,21,52,5,1
"AHNAK2",0,0,1,3,0,16,0,0,0,0,0,0,0,0
"AHR",13,27,2,39,6,48,38,0,5,20,13,53,5,0
"AHRR",0,9,4,40,3,0,8,0,18,5,0,25,0,0
"AHSA1",67,53,140,504,99,79,67,11,29,13,1,45,2,0
"AHSA2",8,8,24,82,25,14,3,2,9,1,1,2,0,0
"AHSG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHSP",0,0,0,6,0,0,0,0,0,0,0,0,0,0
"AICDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIDA",50,50,110,576,90,64,55,3,41,3,4,36,5,0
"AIF1",0,0,1,0,1,0,0,0,0,28,2,0,0,0
"AIF1L",4,1,0,1,0,1,16,0,0,0,0,1,0,0
"AIFM1",24,10,51,158,28,19,18,2,4,2,0,5,0,0
"AIFM2",15,13,26,90,12,17,7,1,3,3,1,28,2,0
"AIFM3",0,0,6,1,2,0,2,0,1,0,0,0,0,0
"AIG1",15,10,125,473,89,31,8,7,35,1,1,18,0,0
"AIM1",7,0,3,1,0,38,3,0,0,2,0,0,0,1
"AIM1L",1,0,1,2,1,5,0,0,0,0,0,0,0,0
"AIM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIMP1",37,23,74,238,49,41,30,2,11,2,2,16,0,0
"AIMP2",32,21,47,128,18,36,13,0,8,2,0,29,1,0
"AIP",52,27,101,423,71,43,55,2,28,3,2,41,3,0
"AIPL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIRE",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"AJAP1",0,2,6,0,1,26,0,0,1,0,0,0,0,0
"AJUBA",10,3,0,1,0,32,0,0,0,0,0,1,0,0
"AK1",13,12,80,174,53,71,38,6,16,1,1,39,0,0
"AK2",90,70,254,719,119,89,49,4,52,5,5,42,8,0
"AK3",123,57,235,626,125,114,35,4,31,3,5,56,2,0
"AK4",4,10,4,142,7,6,1,2,15,0,0,3,0,0
"AK5",0,3,2,24,24,0,0,5,3,0,0,1,0,0
"AK6",21,25,52,162,26,35,28,2,7,0,0,21,3,0
"AK7",0,0,5,26,9,1,0,0,0,0,0,0,0,0
"AK8",0,0,0,8,1,0,0,0,0,0,0,1,0,0
"AK9",1,0,5,17,8,3,1,0,0,0,0,1,0,0
"AKAP1",20,3,59,128,30,41,22,3,8,4,0,9,2,0
"AKAP10",5,9,13,69,8,13,10,0,3,2,0,9,0,0
"AKAP11",9,14,41,290,55,23,16,2,11,4,0,12,0,0
"AKAP12",2,37,12,25,67,84,5,2,19,0,0,13,3,0
"AKAP13",55,41,45,95,57,73,57,4,11,4,5,23,2,0
"AKAP14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKAP17A",15,12,30,135,45,21,20,1,8,2,0,9,0,0
"AKAP2",0,2,1,15,6,3,9,0,0,0,0,2,0,0
"AKAP3",0,0,1,29,6,1,0,0,0,0,0,0,0,0
"AKAP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKAP5",0,0,0,1,0,0,0,0,1,0,2,0,0,0
"AKAP6",0,0,7,38,5,0,0,1,1,1,0,2,4,0
"AKAP7",7,2,4,8,2,93,8,0,1,0,0,4,0,0
"AKAP8",19,11,22,62,20,17,7,0,6,3,2,13,1,0
"AKAP8L",19,16,39,145,34,24,13,0,18,0,1,9,0,0
"AKAP9",38,17,89,491,111,64,24,6,42,3,2,9,0,0
"AKIP1",21,8,70,258,33,23,21,2,20,3,2,14,0,0
"AKIRIN1",31,37,154,429,116,65,28,6,34,4,2,28,0,1
"AKIRIN2",11,14,30,126,25,21,10,0,5,1,0,5,0,1
"AKNA",7,8,3,9,3,9,3,0,0,8,4,3,0,0
"AKNAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKR1A1",151,68,142,555,98,94,59,5,30,18,0,46,0,0
"AKR1B1",40,127,83,425,112,58,79,7,35,25,2,161,3,3
"AKR1B10",166,1,0,2,1,77,0,0,0,0,0,0,0,0
"AKR1B15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKR1C1",582,85,8,26,6,75,12,1,3,0,0,75,2,0
"AKR1C2",636,66,10,34,7,115,17,1,5,0,0,47,1,0
"AKR1C3",659,17,0,31,6,131,1,1,0,0,0,21,2,0
"AKR1C4",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"AKR1C8P",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKR1D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKR1E2",0,0,2,5,0,0,1,0,0,0,0,1,0,0
"AKR7A2",46,67,187,727,129,63,39,6,40,4,0,25,1,1
"AKR7A3",104,0,4,14,2,6,0,0,1,0,0,3,0,0
"AKR7L",2,0,1,0,0,0,1,0,0,0,0,0,0,0
"AKT1",128,78,158,714,154,106,86,12,60,8,3,51,1,0
"AKT1S1",58,29,81,312,51,36,23,4,42,3,0,24,0,0
"AKT2",41,25,54,167,31,49,8,4,22,6,1,26,0,0
"AKT3",0,45,87,446,130,23,69,1,31,2,2,28,1,0
"AKTIP",7,9,51,253,67,28,20,2,10,1,0,11,0,0
"ALAD",22,7,11,42,11,14,9,1,6,2,0,4,0,0
"ALAS1",25,14,60,144,62,27,24,2,20,3,4,14,2,0
"ALAS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",448,0,0,10,1,11,0,0,1,0,0,0,0,0
"ALCAM",49,12,194,1267,257,46,22,10,58,8,1,11,5,0
"ALDH16A1",23,10,13,66,18,24,20,1,3,2,0,3,0,0
"ALDH18A1",47,40,98,550,81,37,16,0,30,2,0,9,0,2
"ALDH1A1",634,30,2981,1037,302,97,40,34,663,14,3,16,6,1
"ALDH1A2",2,2,0,0,0,6,2,0,0,0,0,0,0,0
"ALDH1A3",7,100,0,5,0,408,1,0,1,0,0,6,0,0
"ALDH1B1",7,2,9,14,5,18,3,0,0,0,0,2,0,0
"ALDH1L1",10,0,0,0,0,2,1,0,0,0,0,0,0,0
"ALDH1L2",9,17,6,15,0,0,0,0,2,1,0,5,0,0
"ALDH2",107,27,29,83,37,98,26,1,21,12,0,16,0,0
"ALDH3A1",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ALDH3A2",167,10,41,129,29,239,26,2,7,4,0,13,3,0
"ALDH3B1",1,1,6,0,0,14,0,0,2,5,0,0,1,0
"ALDH3B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALDH4A1",3,2,11,51,2,15,1,0,1,3,2,1,0,0
"ALDH5A1",0,1,28,51,18,1,3,2,0,0,0,0,1,0
"ALDH6A1",3,5,20,117,16,13,4,2,14,1,0,2,0,0
"ALDH7A1",21,7,16,70,23,12,12,0,7,0,0,11,0,0
"ALDH8A1",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ALDH9A1",41,27,120,562,130,48,54,6,53,13,0,26,0,0
"ALDOA",92,81,170,928,115,104,59,5,33,4,2,60,4,0
"ALDOB",1296,0,0,11,7,25,3,0,1,0,0,0,0,0
"ALDOC",2,16,24,387,21,20,12,1,8,0,2,23,0,1
"ALG1",20,14,30,90,17,9,5,1,1,2,1,11,1,0
"ALG10",2,0,1,5,0,0,1,0,0,0,0,1,0,0
"ALG10B",5,3,21,43,10,2,2,0,3,3,0,2,0,0
"ALG11",7,3,12,51,7,7,9,1,3,1,0,1,1,0
"ALG12",22,13,28,84,19,26,13,1,6,1,0,8,0,0
"ALG13",27,12,43,162,33,15,29,4,12,2,0,18,0,0
"ALG14",19,4,15,85,22,7,3,0,2,1,0,5,1,0
"ALG1L",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ALG1L9P",0,1,0,3,0,0,0,0,0,0,0,0,0,0
"ALG2",34,21,65,387,76,42,26,2,6,5,0,26,2,0
"ALG3",49,34,76,224,40,45,19,2,9,5,0,24,0,0
"ALG5",110,36,87,475,102,44,42,1,14,2,0,26,1,1
"ALG6",2,0,6,21,10,5,3,0,2,0,0,4,1,0
"ALG8",16,10,14,72,15,9,7,0,1,1,0,4,0,0
"ALG9",3,0,10,22,3,1,0,0,1,0,0,1,0,0
"ALK",0,0,4,15,1,0,0,0,0,0,0,0,0,0
"ALKBH1",6,4,25,50,18,13,10,0,2,0,0,1,0,0
"ALKBH2",20,9,23,52,7,13,2,0,0,0,0,11,0,0
"ALKBH3",26,6,41,148,22,13,10,2,1,0,1,12,0,2
"ALKBH4",2,0,3,11,3,1,2,0,0,0,0,1,0,0
"ALKBH5",58,64,268,1270,199,87,49,9,65,14,2,52,5,2
"ALKBH6",9,4,46,59,22,13,6,1,10,1,0,7,0,0
"ALKBH7",104,36,143,488,116,60,39,5,39,5,3,27,1,0
"ALKBH8",1,0,1,5,1,0,0,0,0,0,0,1,0,0
"ALLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALMS1",3,0,21,27,11,8,1,0,3,0,0,2,0,0
"ALMS1.IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALMS1P",0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ALOX12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALOX12B",0,0,0,6,0,2,0,0,0,0,0,0,0,0
"ALOX12P2",0,0,0,18,2,1,0,0,1,0,0,0,0,0
"ALOX15",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ALOX15B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALOX5",8,1,6,134,2,40,1,0,0,13,5,0,0,0
"ALOX5AP",0,0,1,7,1,3,0,0,0,41,14,0,0,1
"ALOXE3",0,0,0,7,0,3,0,0,0,0,0,0,0,0
"ALPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPK1",5,3,0,0,0,5,0,0,0,1,0,3,0,0
"ALPK2",0,3,0,0,0,1,0,0,0,1,0,0,0,0
"ALPK3",40,2,198,429,79,15,23,4,17,0,0,3,2,0
"ALPL",0,0,0,2,0,0,6,0,0,0,0,0,0,0
"ALPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPPL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALS2",7,12,27,112,22,12,10,0,2,1,4,5,0,0
"ALS2CL",4,0,0,0,0,7,0,0,0,0,0,0,0,0
"ALS2CR11",1,0,0,5,0,0,0,0,1,0,0,0,0,0
"ALS2CR12",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"ALX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALYREF",13,19,22,116,33,18,21,1,10,3,0,8,1,0
"AMACR",2,1,21,61,8,2,9,2,5,0,0,0,0,0
"AMBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMBP",4,1,29,1,1,92,0,0,0,0,0,0,0,0
"AMBRA1",13,0,10,25,11,11,10,0,4,0,0,4,0,0
"AMD1",45,19,58,328,70,73,21,4,15,1,2,35,0,0
"AMDHD1",0,0,1,3,0,0,0,0,0,0,0,0,0,0
"AMDHD2",4,5,11,39,4,2,12,0,3,1,0,5,0,0
"AMELX",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AMELY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMER1",5,0,2,10,1,3,2,0,1,0,0,1,0,0
"AMER2",0,0,0,9,0,0,0,1,1,0,0,1,0,0
"AMER3",0,0,2,1,0,0,0,0,0,0,0,0,0,0
"AMFR",20,15,35,128,35,36,16,2,10,2,0,7,1,0
"AMH",0,0,6,2,1,2,0,0,1,0,0,0,0,0
"AMHR2",14,0,0,0,0,0,0,0,0,0,3,0,0,0
"AMICA1",0,0,1,0,0,0,0,0,0,6,0,0,0,2
"AMIGO1",2,1,22,50,10,1,1,0,7,0,0,2,1,0
"AMIGO2",8,2,2,2,59,3,2,0,0,0,0,9,0,0
"AMIGO3",0,2,1,2,1,2,0,0,0,0,0,0,0,0
"AMMECR1",7,9,8,38,15,7,8,0,3,0,0,3,0,0
"AMMECR1L",5,5,27,69,14,14,14,1,1,1,1,12,2,0
"AMN",0,1,11,4,3,9,0,0,2,0,1,0,0,0
"AMN1",8,6,31,117,46,8,11,0,3,0,0,7,0,0
"AMOT",0,1,12,14,3,11,3,0,1,0,0,0,0,0
"AMOTL1",17,47,7,8,41,39,33,4,36,1,0,25,12,0
"AMOTL2",16,32,3,4,0,103,10,0,0,0,0,7,0,0
"AMPD1",0,0,0,3,2,0,0,0,0,0,0,0,0,0
"AMPD2",16,36,123,608,100,22,20,3,44,5,0,20,2,0
"AMPD3",4,1,12,108,15,8,1,1,2,3,0,5,0,0
"AMPH",0,8,12,37,12,0,2,0,3,0,0,14,0,0
"AMT",11,0,3,52,11,3,2,0,4,0,0,0,0,0
"AMTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMY1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMY1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMY1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMY2A",230,0,0,2,0,0,0,0,0,0,0,0,0,0
"AMY2B",49,2,9,32,6,0,1,1,0,2,1,0,0,0
"AMZ1",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AMZ2",29,12,122,587,89,29,26,1,21,1,1,9,2,0
"AMZ2P1",12,2,31,265,42,3,10,1,11,2,0,4,0,0
"ANAPC1",13,9,34,159,23,22,15,1,4,1,2,6,1,0
"ANAPC10",7,9,29,94,15,13,5,0,3,0,0,9,0,0
"ANAPC11",157,113,537,1450,284,197,124,19,97,20,3,132,7,0
"ANAPC13",41,25,221,743,138,52,56,8,36,3,2,36,4,0
"ANAPC15",26,14,52,170,56,22,13,3,9,6,1,8,4,0
"ANAPC16",88,26,199,699,156,103,36,10,36,10,2,53,4,1
"ANAPC1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANAPC2",18,12,41,69,7,18,8,2,5,1,0,11,0,0
"ANAPC4",6,6,15,33,7,9,5,0,3,2,1,3,0,0
"ANAPC5",66,48,92,489,86,43,36,5,41,6,1,32,3,1
"ANAPC7",19,9,51,158,41,41,28,2,13,2,3,9,0,0
"ANG",53,5,41,16,19,18,1,2,8,1,0,0,0,0
"ANGEL1",13,8,78,383,73,13,16,0,25,3,1,6,0,0
"ANGEL2",6,6,26,89,23,15,10,0,9,2,0,6,0,0
"ANGPT1",0,0,0,0,0,0,0,0,0,0,0,29,0,0
"ANGPT2",0,0,0,1,0,0,212,0,3,0,0,7,0,0
"ANGPT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGPTL1",0,3,0,4,1,0,0,0,1,0,0,2,0,0
"ANGPTL2",0,71,1,64,0,0,161,0,0,0,0,65,0,0
"ANGPTL3",0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ANGPTL4",89,278,118,7,8,133,8,1,0,1,0,106,4,0
"ANGPTL5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGPTL6",0,0,2,5,0,1,1,0,0,1,0,0,0,0
"ANGPTL7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANHX",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANK1",2,4,1,15,25,0,1,0,0,0,0,0,0,0
"ANK2",0,0,11,12,1,0,1,0,0,0,0,0,1,0
"ANK3",8,0,10,37,28,13,0,4,11,0,0,1,3,0
"ANKAR",1,0,1,12,1,0,2,0,1,0,0,0,0,0
"ANKDD1A",4,1,1,3,1,0,2,0,0,0,0,2,0,0
"ANKDD1B",0,0,0,1,1,0,0,0,1,0,0,0,0,0
"ANKEF1",5,0,2,23,8,1,0,0,0,0,1,0,0,0
"ANKFN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKFY1",0,3,8,12,7,8,3,0,0,0,0,1,0,0
"ANKH",16,23,160,824,160,4,44,4,48,3,0,4,0,0
"ANKHD1",28,8,74,286,71,24,22,0,9,4,2,6,0,0
"ANKHD1.EIF4EBP3",0,0,2,1,0,0,0,1,0,1,0,0,0,0
"ANKIB1",24,22,48,258,56,57,15,1,17,3,2,13,0,0
"ANKK1",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ANKLE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKLE2",34,23,46,153,40,71,18,0,9,7,2,17,0,0
"ANKMY1",3,0,4,20,5,3,3,0,1,1,0,0,0,0
"ANKMY2",12,3,17,176,12,13,4,3,4,3,4,1,0,0
"ANKRA2",17,4,49,164,30,22,8,0,7,1,0,6,0,0
"ANKRD1",1,0,0,0,0,25,0,0,0,0,0,0,0,0
"ANKRD10",58,47,63,329,66,84,47,4,13,4,2,77,1,0
"ANKRD10.IT1",1,0,0,3,3,0,0,0,0,1,1,0,0,0
"ANKRD11",49,57,141,492,96,104,156,7,23,7,6,69,3,0
"ANKRD12",16,8,116,371,102,68,33,7,33,8,1,32,4,5
"ANKRD13A",30,9,33,118,23,40,9,0,11,0,0,5,1,1
"ANKRD13B",1,1,8,6,0,1,2,0,1,0,0,0,1,0
"ANKRD13C",7,4,43,75,22,21,7,1,8,0,0,0,0,0
"ANKRD13D",1,3,19,73,25,12,7,1,5,3,2,2,0,0
"ANKRD16",5,3,10,35,14,4,3,0,3,0,0,2,0,0
"ANKRD17",26,10,62,229,62,29,14,6,13,1,1,10,1,0
"ANKRD18A",0,1,6,14,0,0,0,0,3,0,0,0,0,0
"ANKRD18DP",0,0,2,1,1,1,0,0,0,0,0,0,0,0
"ANKRD19P",2,1,0,4,1,1,0,0,0,0,0,0,0,0
"ANKRD2",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ANKRD20A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD20A11P",0,0,1,2,0,0,0,0,1,0,0,0,0,0
"ANKRD20A19P",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD20A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD20A3",0,0,2,7,0,0,0,0,0,0,0,0,0,0
"ANKRD20A4",0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ANKRD20A5P",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD20A8P",0,0,1,3,0,0,0,2,1,0,0,0,0,0
"ANKRD22",7,0,0,0,0,3,0,0,0,0,0,0,0,0
"ANKRD23",0,1,3,65,0,1,2,1,0,0,0,0,0,0
"ANKRD24",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD26",3,5,19,53,10,3,0,0,6,0,1,1,0,0
"ANKRD26P1",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ANKRD27",4,7,15,85,7,6,9,0,7,2,0,6,0,0
"ANKRD28",18,10,19,117,20,29,15,0,4,0,1,9,8,0
"ANKRD29",0,3,7,7,0,0,4,0,0,0,0,0,0,0
"ANKRD30A",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ANKRD30B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD30BL",0,0,0,2,0,0,0,0,1,0,0,0,0,0
"ANKRD30BP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD33",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ANKRD34A",0,0,3,16,3,0,3,0,2,0,0,4,0,1
"ANKRD34B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD34C",0,0,0,50,3,0,0,1,0,0,0,0,0,0
"ANKRD35",0,2,0,0,0,0,1,0,0,0,0,2,0,0
"ANKRD36",33,3,22,80,18,20,2,0,2,3,3,1,0,1
"ANKRD36B",3,0,6,25,10,6,0,0,1,1,0,0,0,0
"ANKRD36BP2",8,0,13,48,17,3,0,0,5,0,0,0,0,0
"ANKRD36C",4,0,2,4,3,4,0,0,0,0,0,0,0,0
"ANKRD37",18,7,12,112,29,15,4,1,2,1,0,8,0,0
"ANKRD39",14,14,31,113,12,9,14,2,6,4,1,5,0,0
"ANKRD40",36,33,50,174,37,44,62,0,9,1,0,14,2,0
"ANKRD42",10,6,7,60,6,5,2,0,3,0,0,1,0,0
"ANKRD44",0,0,1,5,3,1,1,0,1,0,0,0,0,0
"ANKRD44.IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD45",0,0,0,11,7,0,0,0,0,0,0,0,0,0
"ANKRD46",12,9,69,145,34,10,23,5,10,0,2,10,0,0
"ANKRD49",8,1,21,78,18,9,5,0,8,3,1,4,0,0
"ANKRD50",10,13,2,27,7,14,25,0,0,0,0,11,1,0
"ANKRD52",26,8,40,113,28,20,18,1,18,5,0,8,0,0
"ANKRD53",1,0,0,5,1,1,0,0,0,0,0,0,0,0
"ANKRD54",0,1,15,41,15,3,3,0,2,1,0,1,0,0
"ANKRD55",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD6",1,6,7,59,8,18,7,0,3,0,0,0,0,0
"ANKRD62",2,0,1,0,1,1,0,0,0,0,0,0,0,0
"ANKRD63",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD65",0,0,7,33,2,0,1,0,1,0,0,0,0,0
"ANKRD66",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ANKRD7",0,0,1,10,1,0,0,0,0,0,0,0,0,0
"ANKRD9",21,8,41,100,17,53,37,0,4,0,0,9,0,0
"ANKS1A",11,6,26,71,9,24,3,0,3,1,0,10,0,0
"ANKS1B",0,1,1,24,22,1,1,1,11,0,0,0,0,0
"ANKS3",9,9,33,47,11,12,5,0,7,0,0,1,0,0
"ANKS4B",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"ANKS6",9,6,6,18,5,6,1,0,0,1,0,1,0,0
"ANKUB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKZF1",13,3,15,37,10,7,4,0,6,0,0,1,0,0
"ANLN",0,0,4,1,1,0,0,0,0,0,0,0,0,0
"ANO1",0,112,0,0,0,9,0,0,0,0,0,20,0,0
"ANO10",19,21,84,276,36,31,34,1,5,2,0,11,0,0
"ANO2",0,0,0,0,0,0,2,0,0,0,0,0,0,0
